Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1988,Slugs,American,Juan Piquer Simon,Michael Garfield,horror,https://en.wikipedia.org/wiki/Slugs_(1988_film),"A rural town becomes prey to a strain of black slugs spawned from toxic waste dumping. It is up to the local health inspector to stop them. People are dying mysteriously and gruesomely. Only health worker Mike Brady has a possible solution, but his theory of killer slugs is laughed at by the authorities. Only when the body count begins to rise and a slug expert begins snooping around does it begin to appear as though Mike's theory might be right."
1997,Preaching to the Perverted,British,Stuart Urban,"Guinevere Turner, Tom Bell, Christien Anholt",comedy,https://en.wikipedia.org/wiki/Preaching_to_the_Perverted_(film),"Henry Harding MP, a British government minister on a moral crusade, hires an inexperienced young computer whizzkid, Peter Emery who works for a Christian computer company called Holy Hardware, to infiltrate the United Kingdom BDSM scene. Harding is set on putting a club called ""House of Thwax"" run by Mistress Tanya Cheex out of business, and is sure that Peter's secretly videotaped evidence of the club's activities will do the trick. However, the virginal Peter takes a liking to Tanya Cheex and finds himself falling for the Mistress. Amongst the locations used Layer Marney Tower in Essex plays a pivotal role for a party scene."
2005,All the Invisible Children,Hong Kong,Mehdi Charef,,unknown,https://en.wikipedia.org/wiki/All_the_Invisible_Children,"Seven young freedom fighters, heavily armed, are covering ground looking for the enemy. At twenty-one their leader is the eldest. Tanza is twelve and has joined this group after witnessing the massacre of his family. While bathing in a river in the middle of the forest, trying to forget their lives as soldiers for a while, they are unaware that in a short time one of them will be dead and one will be sent to blow up a school, where in a few hours other children just like them will be arriving."
2002,The Singles Ward,American,Kurt Hale,"Will Swenson, Connie Young, Daryn Tufts",comedy,https://en.wikipedia.org/wiki/The_Singles_Ward,"After faithfully serving a full-time mission for the LDS Church and marrying, Jonathan Jordan finds himself divorced and once again a member of the LDS single adult world. He attends a ""singles ward"", a congregation specifically for unmarried adults where the ultimate goal is Eternal Marriage. Disenchanted, Jordan stops going to church. He even creates a standup routine lampooning the Mormon lifestyle. His resistance to the church continues until he falls for Cammie Giles, a member of the local singles ward. Suddenly, Jordan finds going to church more appealing. But is he attending church again just to impress her?
During the course of the movie, Jonathan frequently breaks the fourth wall to narrate events to the audience."
1957,That Night!,American,John Newland,"John Beal, Augusta Dabney",drama,https://en.wikipedia.org/wiki/That_Night!,"Chris Bowden works at a New York City agency, writing commercials for television, and commutes to his Connecticut home daily on the train. One day, late for his daughter's birthday, Chris suffers a heart attack while aboard the train. An unscheduled stop is made to rush him to a hospital.
Although he is in his early 40s, Chris becomes concerned that his life could be near an end, particularly after a second attack. His wife Maggie also reevaluates her life, wondering if the stress of a marriage and work has led to this development. Each vows to reconsider what's important to them after Chris is finally released to come home."
1934,College Rhythm,American,Norman Taurog,"Jack Oakie, Joe Penner",comedy,https://en.wikipedia.org/wiki/College_Rhythm,"Cocky college football star Francis Finnegan has his eye on the attractive Gloria van Dayham, as does his rival, Larry Stacey.
Francis gets a job in a department store owned by Stacey's father, where salesgirl June Cort develops an attraction to him. Finnegan proposes that Stacey's store sponsor a football team, which causes rival shop owner Whimple to do likewise. The team's head cheerleader, Mimi, falls for team mascot Joe, meanwhile, and everybody pairs off with the perfect partner after the big game."
2015,Koisuru Vampire,Japanese,Mai Suzuki,Mirei Kiritani,vampire film,https://en.wikipedia.org/wiki/Koisuru_Vampire,"Kiira seems like an ordinary young girl, who likes to dress up. What differentiates her from others is that she is a vampire. She has never told anyone her secret including her first love, Tetsu. After her parents died when Kiira was 12 years old, she needed to live with her relatives and lost contact with Tetsu. But 8 years later, Tetsu appears at the bakery where Kiira works...[3]"
1927,The Yankee Clipper,American,Rupert Julian,"William Boyd, Elinor Fair, Junior Coghlan, John Miljan",adventure,https://en.wikipedia.org/wiki/The_Yankee_Clipper_(1927_film),"Captain Winslow takes a revolutionary new clipper ship, built by his father, on its first voyage, and Mickey Murphy is found stowing away in a burlap sack. While in China, Winslow attends a dinner hosted by a wealthy Chinese merchant and rescues English maiden Lady Jocelyn Huntington from rioting beggars. Winslow agrees to a race from China to Boston against an English clipper ship. He wins the race and Lady Jocelyn."
1931,Nice Women,American,Edwin H. Knopf,"Sidney Fox, Frances Dee",romance,https://en.wikipedia.org/wiki/Nice_Women,"A young woman, Jerry Girard (Frances Dee) is pushed by her mother (Lucille Gleason) and family into accepting the marriage proposal of a millionaire, Mark Chandler (Alan Mowbray), who is the employer of her father (James Durkin). To do so, she has to drop the boy she really loves and promised to marry, Billy Wells (Russell Gleason), but her family is seeking to recover from their financial woes and find security. When the millionaire finds out the real situation, he releases her from her vow and gives the young couple a $5000 wedding gift. He then leaves for Europe with an old flame, Dorothy Drew (Carmel Myers)."
1933,Laughter in Hell,American,Edward L. Cahn,"Pat O'Brien, Gloria Stuart",drama,https://en.wikipedia.org/wiki/Laughter_in_Hell,"O'Brien plays an Irish mine worker, Barney Slaney. Later Barney gets a job as a fireman on the local train for an engineer named Mileaway. He gets married, but finds his wife having an affair with Grover Perkins, a childhood nemesis. Barney loses control and kills them both. He turns himself in and receives a life sentence of hard labor. Barney quickly finds out that the brother of the man he killed, Ed Perkins, will be in charge of his chain gang, and the brother bullies him repeatedly. While the prisoners dig graves, Barney knocks Ed unconscious and drops him into one of the open graves. He then escapes during the ensuing mayhem, in which the warden is killed. He breaks out of the police dragnet, and hides at a farm which recently had a pestilence infection. He meets a woman named Lorraine, and they run away together.[3][4]"
1990,Reversal of Fortune,American,Barbet Schroeder,"Jeremy Irons, Glenn Close, Ron Silver",drama,https://en.wikipedia.org/wiki/Reversal_of_Fortune,"The story is narrated by Sunny von Bülow, who is in a coma after falling into diabetic shock after a Christmas party. Her husband, the dissolute European aristocrat Claus von Bülow, is charged with attempting to murder the hypoglycemic Sunny by giving her an overdose of insulin. Claus' strained relationship with his wife and his cold and haughty personal demeanor lead most people to conclude that he is guilty. In need of an innovative defense, Claus turns to law professor Alan Dershowitz. Dershowitz is initially convinced of Claus' guilt, but takes the case because von Bülow agrees to fund Dershowitz' defense of two poor black teenagers accused of capital murder. Employing his law students as workers, Dershowitz proceeds to defend Claus, wrestling with his client's unnerving personal style and questions of von Bülow's guilt or innocence."
1963,Sunday in New York,American,Peter Tewksbury,"Jane Fonda, Rod Taylor, Cliff Robertson, Robert Culp",romantic comedy,https://en.wikipedia.org/wiki/Sunday_in_New_York,"Eileen Tyler (Fonda), a 22-year-old Albany Times Union music critic, is suffering from her breakup with Russ (Robert Culp) from a rich Albany family. She comes to New York City to visit her brother Adam (Robertson), who is an airline pilot. Eileen confides to her brother that she thinks she may be the only 22-year-old virgin left in the world. Adam assures her that sex is not what all men look for and insists he hasn't slept around. Of course, Adam is lying and is in hot pursuit of a tryst with his occasional girlfriend Mona. However, Adam's date with Mona has a series of job related interruptions. Meanwhile, Eileen decides to see if she can have some fun for herself in New York, and seems to find the perfect candidate in Mike (Taylor), a man she meets on the bus. But things get complicated when Russ pops in with a proposal and a mistaken assumption. Mike later confesses to Eileen his feelings whereby she has a change of heart."
1999,Sautela,Bollywood,Rama Rao Tatineni,"Vinay Anand, Mithun Chakraborty, Gulshan Grover",action,https://en.wikipedia.org/wiki/Sautela,"Raghuvir, the head of the village Panchayat, and Arjun are step-brothers who live separately. Arjun always respects his elder brother Raghuvir. Raguvir's wife and daughter also love Arjun, but Raghuvir openly dislikes him being the step-brother. One day local goons tried to rape Raghuvir's daughter and Arjun beats them. Without knowing the fact, Raghuvir punished Arjun. The Enemy of their family and local Don uses this hatred to their advantage.[2]"
2011,Maaro,Telugu,Siddique,"Nitin, Meera Chopra, Abbas, Kota Srinivasa Rao",masala,https://en.wikipedia.org/wiki/Maaro_(film),"A theft will happen in a Bank in the city in which a girl dies and the manager of the bank commits suicide,the robbery involves Raj Mohan (Abbas) and Ex Minister (Kota Srinivas Rao) and Sundaram (Nitin ) belongs to the family which is effected by the theft,he meets Meera Chopra and the rest is all about how sundaram faces the consequences in the process of proving that Raj Mohan is the culprit. Fun and thrilling suspense and an entertainer movie."
1977,Run for the Roses,American,Henry Levin,"Vera Miles, Stuart Whitman, Lisa Eilbacher",drama,https://en.wikipedia.org/wiki/Run_for_the_Roses_(film),"A young boy named Juanito Hernandez befriends and nurses back to health a horse that undergoes an operation. When the horse recovers, owner Clarissa Stewart and her trainer, Charlie, come to believe Juanito's hunch that the recovered horse now has a good chance to win the Kentucky Derby."
2008,Bajimaat,Bengali,Haranath Chakraborty,"Soham Chakraborty, Subhasree Ganguly",romance,https://en.wikipedia.org/wiki/Bajimaat,"Suvra (Soham Chakraborty) is a lower middle class young boy, who dreams of becoming a big singer. His girlfriend Jhilik (Subhasree Ganguly) also dreams of becoming a singer. Suvra and Jhilik are both trapped by a company of a reality show organisation. Suvra loses a lakh of rupees, which is actually his college admission fee for computer engineering. But his father cannot bear this shock and suffers from a massive heart attack. To save his family, Suvra gives up his dream and starts working for a TV Channel. The CEO of this TV channel, Sanjay Sen is a good man and he supports Suvra. On the other hand, Jhilik is also exploited by Rohit, son of the reality show organiser. Rohit separates Suvra and Jhilik. But ultimately, with the sponsorship of Sanjay Sen and the sacrifice of Jhilik, Suvra becomes the Singer of Bengal. Suvra and Jhilik are reunited as lovers."
2002,Troublesome Night 17,Hong Kong,Lam Wai-Yin,"Law Lan, Simon Lui, Sam Lee, Teresa Mak, Tong Ka-Fai, Ronnie Cheung, Anita Chan","horror, romance, comedy",https://en.wikipedia.org/wiki/Troublesome_Night_17,"Bud Gay is arrested for drug trafficking and sent to prison. When his mother, Mrs Bud Lung, visits him, she senses that a ghost is haunting him so she sends Bud Yan to help him. They learn that the spirit is a vengeful ghost of a woman, who had followed suit after her husband committed suicide when he was wrongfully imprisoned. All she wants is to see her husband's grave, which is located behind the prison. When the burial site cannot be found, she thinks she has been fooled so she unleashes her fury on everyone."
1991,Mystery Date,American,Jonathan Wacks,"Ethan Hawke, Teri Polo",comedy,https://en.wikipedia.org/wiki/Mystery_Date,"Tom McHugh (Hawke) quickly learns that his perfect big brother Craig (McNamara) isn't all he's cracked up to be while on a night on the town with the girl next door (Polo), during which Tom is harassed by unpleasant strangers, threatened by mobsters, pursued by police, attacked by an irate florist, accused of murder, and has his date kidnapped—all because everyone thinks he's Craig...and the classic 1959 DeSoto Firesweep he borrowed off his brother has two dead bodies in the trunk."
1956,The Proud Ones,American,Robert D. Webb,"Robert Ryan, Virginia Mayo",western,https://en.wikipedia.org/wiki/The_Proud_Ones,"Cass Silver (Robert Ryan), marshal of a small Kansas town, is expecting trouble with the arrival of the first Texas trail herds on the newly completed railroad. The town’s new saloon owner, Honest John Barrett (Robert Middleton) is anticipating an increase in business and wants rid of the marshal. To make matters worse, the marshal's deputy, Thad Anderson (Jeffrey Hunter), is the son of a gunfighter that Cass shot years before. Eventually Thad begins to realise the truth about his father and helps the marshal restore law and order to the town."
2012,Tor Naam,Bengali,Jaya Shankar,"Gaurav, Swati, Victor Banerjee, Sabyasachi Chakrabarty, Mithu Chakraborty, Kharaj Mukherjee, Mousami Saha, Tota Roy Choudhury,Suman Banerjee",romance/drama,https://en.wikipedia.org/wiki/Tor_Naam,"Raju is only child of his lovable parents from Kolkata. His father is very honest & raised him with love. He studies in higher secondary in a Boarding College of West Sikkim. In midsession, a beautiful girl named Swapna gets admitted into the college. Swapna is only child of her strict parents. Swapna finds many things in Raju which she expected. Once listening to a friendly lecturer's lecture about differences between love & attraction, Raju decides to propose Swapna with a letter. Swapna accepts the proposal & both of them finds out that they are fallen in love with each other. But accidentally a photo of them gets published on a newspaper and Swapna's father takes away her from college. Raju is ordered to bring his father for participating in final exam. What happened after this in the lives of Raju & Swapna? Would they win over all obstacles?"
1918,The Heart of Humanity,American,Allen Holubar,"Dorothy Phillips, William Stowell",propaganda,https://en.wikipedia.org/wiki/The_Heart_of_Humanity,"Nanette (Dorothy Phillips), an American girl living in a small Canadian village, is in love with John Patricia (William Stowell), the eldest of five brothers. The war interrupts their romantic idyll, as everyone goes overseas to Belgium and France. Nanette becomes a Red Cross nurse and is terrorized by the evil Prussian Lt. von Eberhard (Erich von Stroheim). It is up to John to save her from the Hun's advances."
1951,Sarvadikari,Telugu,Unknown,,unknown,https://en.wikipedia.org/wiki/Sarvadhikari_(film),"An ambitious minister (Mahavarman) with designs to topple the puppet king (Pulimoottai Ramaswami) of Manipuri finds the popularity of the commander-in-chief (Ugrasenar) and his bodyguard (Pratapan) a stumbling block. He sends a young woman (Meena Devi) to seduce Pratapan, but she falls in love with him. After several twists and turns, Mahavarman is exposed and felled in an exciting duel with Pratapan. Ugrasenar is chosen as the first president while Pratapan is appointed as the new commander in chief. The kingdom of Manipuri is now a republic!"
1934,City Limits,American,William Nigh,"Frank Craven, Sally Blane, Claude Gillingwater","comedy, drama",https://en.wikipedia.org/wiki/City_Limits_(1934_film),"In a variation of Captains Courageous, J.B. Matthews (Frank Craven) president of a railroad, is getting sick of doctors, when he falls off his train, and meets up with a pair of hoboes, King (James Burke) and Napoleon (Jimmy Conlin), who show him how to enjoy life, and real cooking. It's up to intrepid reporter Jimmy Dugan (Ray Walker) and Helen (Sally Blane) to find him, and bring him in; before a rival ruins him. But, time is running out."
1961,The Big Gamble,American,Richard Fleischer,"Stephen Boyd, Juliette Greco, David Wayne",adventure,https://en.wikipedia.org/wiki/The_Big_Gamble_(1961_film),"Vic Brennan is a sailor from Dublin who decides to use his family's fortune and move to Africa to open a truck-hauling business. He is accompanied by his wife, Marie, and a meek cousin, Samuel, who loses their documents, causing customs agents to seize some of their cargo.
As they proceed along the Ivory Coast, a plan occurs to Vic to purchase 300 cases of beer and deliver it to thirsty natives for sale. A German they encounter along the way, Kaltenberg, attempts to hijack it.
A feverish Samuel needs to be nursed back to health. He bravely dives into a raging river to save Vic from drowning. Their misfortune continues when the truck's brakes fail, causing it and their goods to go off a cliff. Just as all seems lost, though, they safely reach their final destination."
2006,Idhaya Thirudan,Tamil,Saran,"Jayam Ravi, Kamna Jethmalani, Prakash Raj",romance,https://en.wikipedia.org/wiki/Idhaya_Thirudan,"Deepika (Kamna Jethmalani) can't bear with the control her mother Sudha Rani (Vani Viswanath) imposes on her life. In order to make her mother angry, she uploads some hot, sexy pictures of herself and emails them to a fictitious name, ""T. Mahesh"". However, there seems to exist a T. Mahesh (Jayam Ravi) who is a catering student. The more Deepika and Mahesh run into each other, Mahesh starts following Deepika wherever she goes. Mayilravanan (Prakash Raj) is a policeman who wants to marry Deepika. In hopes of creating a distance between Deepika and Mahesh, Mayilravanan seeks a relationship with Deepika's mother. The relationship between Deepika and Mahesh grow into love as they both try to separate Mayilravanan and Deepika's mother in hopes of setting life to how it originally was.Akash B.N from BSF was deepika old lover."
